username,postid,text
junkieturtle,post_1062029486,rape child porn argument wrong free clear free free bunch murder murder moral relativist bad recogn opinion wrong univers object construct honest admiss idea feel extrem strong feel label univers woman choos reproduct destini compromis live churchmous land option support abort demand good honestli depend murder kill child rapist go lose sleep reason reason rule answer arriv conclus understand moral relativ explain paragraph confus happen truth event event occur matter perspect car car car bicycl depend person feel object fact accid chang assum tie abort object fact abort fetu insid mother termin object fact speak absolut wrong life concept life concept speak absolut right life automat deserv concept law thing allow human lift nomad isol group peopl build societi countri law enforc greatest human construct find moral consequ rule allow societi function conclus born fundament misunderstand moral relativ make entir illeg illeg sole pretend perfect dishonest chronic deliber misrepresent peopl misunderstand scienc tell scienc life concept argu scienc abstract emot legal term tell human will attach signific life concept abort illeg scienc opinion perspect opinion abort object scientif fact talk dishonesti funni ugli hate thing mention abort debat high hors think view automat arrog choic chosen intoler liber posit choic matter decis life liber nose peopl busi
patriotnews,post_1060787519,human organ understand time organ mean entir organ chang mean organ walk talk breath human grown human sperm human egg human week develop magic human refer sentenc yeah differ exist creation dna human likewis nice fellow realiz quot sourc disagre make take cake human sperm human egg human realiz ask time time imagin defens answer question defend personhood zygot defend life zygot split human point discuss personhood religi argument fact person ethic speak error side life higher power argu life valuabl potenti
roadkoan,post_1061194139,social conserv group religi allow forc view liber religi group includ act violenc option violenc tabl religi group choos marri homosexu free speak decis discuss open violenc night secular best word founder approach religion religi peopl necess carri portion peopl person view better founder forc coerc offici religion exclus tenth amend suprem court fourteenth expect gay marriag debat decid line
giftedone,post_3521662,week heart rate fetu chang sound occur environ joseph ny book center emerg md mind amp brain ny book quot development biolog textbook address question brain develop relat human life directli cultur identifi qualiti human live organ univers view form life earth finit implicit view realiti life identifi form death debat surround exact moment mark human life contrast certainti consist instant death describ contemporari american japanes societi defin death loss pattern produc cerebr life death base standard measur human life recogn time fetu acquir pattern acquisit occur week concept fetu basi neurolog view human life principl neurolog view human life present fact life book written jame concern abort controversi simpl medic procedur attach locat patient head differ time measur point data plot time produc brain wave repres organ electr activ brain medic profession patient pattern identifi broad spectrum mental state tool exact mechan pattern link individu cerebr neuron activ remain mysteri despit lack precis explan connect neural activ strong argument uniqu highli pattern produc matur brain defin characterist human moment develop fetu exhibit pattern consist matur brain indic human life point onward develop fetu capabl type mental activ associ human viewpoint exampl claim back ration justif nake claim
shiva_td,post_1061042585,defens inalien individu forc requir infring inalien right individu key forc unnecessari forc cours life address murder unnecessari life person kill individu defens life violat life long protect life cours argu capit punish protect life capit punish reveng violat inalien life complet unnecessari justic system establish protect inalien right individu pragmat reason govern infring inalien right liberti individu protect inalien right infring infring achiev greater protect inalien right individu societi rare case justifi minim infring inalien right individu benefit societi roe wade decis protect infring right woman impos third trimest pregnanc fetu viabil person state societi interest protect potenti personhood fetu abort greatli limit point full protect woman inalien right trimest abort demand court face problem protect right woman well consid interest state societi roe wade good job accomplish decis respect right woman provid protect potenti personhood fetu acquir right person birth court decis infring inalien right fo woman extent serv interest state societi futur right babi birth repeatedli well extend personhood establish constitut preced legal accomplish requir individu will address creat constitut amend ratifi state criteria establish preced personhood fetu prior birth high requir state ratifi amend good thing establish personhood inalien right meet high standard societi agre high degre reflect hard pass constitut amend state problem extend personhood fetu viabil afford inalien right constitut amend go ratifi state opinion well inform opinion amend enforc roe wade decis place protect afford fetu viabil roe wade
ziggy_stardust,post_4766130,imo state unlaw kill citizen long commit state sanction homicid case death penalti constitut prevent state legisl life imo legal life legisl constitut wrong commit fetal homicid fetu defin law murder fetu murder legal term wrong contradict imo fetu treat person law separ homicid law woman privaci ride fetu life fetu consid fetu quot law defin fetu person roe wade pretti well establish fetu right born child deem viabl live womb point fall fetal homicid homicid law contradict fetal homicid encompass abort conflict roe wade fetu defin law right person constitut grant unalien life
locke9-05,post_1061029591,thought sens read entireti studi post counter studi dismiss wrong spam discuss spam report post moder debat legitimaci close sourc studi issu rest question relat studi guess moder tend agre wrong report comment spam feel free clearli disput longer minut ago classic reiver tactic pull stock privat collect knowledg empir studi access standard valid suggest legitimaci question go settl continu disappoint post verifi evid access support initi term topic question answer will remain
greataxe,post_4535932,forc appli unborn child late term kill injur child harm mother time inch child head mother outer layer skin moder punch will kill child progress pregnant friend lightli hit child feel sever strike injur bibl passag talk god know person plan born womb soul pregnanc chanc kill base passag directli attack pregnant women bibl exodu close men fight kill unborn child father allow death death penalti allow accident death suffer mosaic law beat pregnant women crime bibl cover act layman attack stone law cover happen homosexu want marri local templ day jesu thing law
sean_michael,post_1061772873,thing better day state contracept young girl women pregnant inflam matter pill form contracept introduc teenag pregnanc beleiv tell youth sex recreat purpos realis messag send abstain sex commit relationship contracept proven work solv issu young singl mother year ago abort year ago std year ago long will peopl realis fix problem stick head sand tell problem will eventu stick thing proven work will good agre life jump assumpt thing beleiv human life sacr agre death penalti stem cell born wedlock offens comment thing british british irish british govern unfound assumpt post simpli true
frogger,post_4602535,oppos abort reason oppos death penalti feel life unborn child life basic develop interest assumpt proven unborn child avers reaction pain tend indic interest exist interest unborn child exist logic extens mental retard right exist kill allow constitut murder interest exist exhibit unborn child avers pain interest exist emerg month born carri view logic extens wrong kill week child month child child feel reach point interest exist post carri creed logic conclus child will decid right exist dead will well dead unbeliev sad
blasphemer,post_1060887118,ridicul valid question fact central abort debat know exactli person determin fetus possess qualiti protect answer person mind human life biolog valuabl mind valuabl human life valuabl proxi mind exist mind life exist wrong kill kill fetus appear mind braindead biolog aliv human wrong answer question kill innoc human dont mind
churchmouse,post_1060813389,choic sex risk decid birth control fail pregnant sex decid risk pregnant life conceiv enslav risk stand respons separ life risk end start wow life worth month school lol cours kill option quit work entir pregnanc women pregnant read write lol ya time birth woman colleg univers told situat help incomplet time pregnanc women suffer babi deni women suffer abort well kill wors kind suffer cheap free condom place abort expens birth control go support place kill unborn children train worker allow underag girl access abort illeg thing look evid tabl abus system way sell bodi part counsel report rape list birth control kill birth control peopl option clinic countri shut slowli place women health care place
anders_hoveland,post_1061634533,bring admit regret honestli find hard women feel bear mind accompani woman abort clinic admit feel guilti men feel women cours women emot obviou portion women denial repress feel studi find older studi survey women experienc emot abort increas number report abort distress caus factor femal patient problem patient seek therapi seemingli unrel problem
okgrannie,post_1060918083,women seek abort unprotect sex fulli half women seek abort birth control govern stay abort crimin feel good law effect law crimin abort wo abort harder find women will travel women feel forc continu unwant pregnanc will rare babi adopt option women stigma unmarri motherhood disappear forc bear babi will detriment child accomplish crimin abort will danger women care daughter niec sister sing tune rememb women will abort reproduct year
felicity,post_4818217,child graham simpli mistaken suggest posit accept church allow peopl cathol church stanc repent sin reconcil person free will person freedom turn sin turn simpli erron sin support abort child graham read concern conscienc portion context claim absolv guilt correct freedom sin free sin main condemn child graham reason highlight red quot abort child graham conscienc claim grave sin
giftedone,post_1060787592,singl cell answer time human cell cell cell organ cell organ word form entir organ organ form quit mix adject human noun human irrit number week matter debat definit constitut dead human minimum beat heart brain function heart start move earli brain function roughli week depend talk clear zygot mass cell meet ration criteria constitut human structur form blastocyst hollow sphere cell insid will form cell point will born human blastocyst form placenta cell grow insid will form human exist suggest form word differ exampl child potenti adult child potenti form adult mix adject noun dna creat human quot area exactli claim make human cell organ poison bad argument confus adject cours zygot human human cell time answer question human cell life zygot person human defend life human cell error side constitut claim dont will grant posit well dont soul exist concept dont weigh constitut enshrin right human interest argument life depend kind life pay dollar pound good steak groceri store mushroom cost human cell subject convers claim human zygot cell skin cell reason zygot cell valuabl potenti
dixnickson,post_1061211817,wow cadi lump polit oppon big barrel find easier shoot peopl struggl unborn develop human be oppos slaveri view inhuman human be scotu deni scott human rule stand court war oppos militari action includ war unit state today war good environ enslav philosophi insur facil insur healthcar surrend person freedom govern impress faith biblic refer legal eagl law state death process crime unborn commit art doctor cite grant gener age wisdom cite case fair best complet full opinion render share idea care cadi unborn potenti child aliv human farther babi step understand religi leadership satan ilk sourc oppos abort today consist messag decad fifti dead count roe wade religi leader area faith preach abort
whaler17,post_4059406,well johnni grow entiti grow infant grow adult entiti growth process zygot grow adult zygot entiti fetu infant toddler adult grow deni repeatedli well human biolog pot meet kettl hilari debunk nonsens faux indign mask fact debunk theori human develop process grow matur biolog term entail growth zygot adult human growth develop
pasithea,post_1061580994,locat locat locat locat person physic emot psycholog risk person face person accept chang risk involv pregnant accept risk chang bodi birth necess person point individu biolog surviv aid person intern organ birth correl spiritu view soul enter bodi breath share belief protect pregnant women abort carri term proven time time abort law fetal personhood law harm pregnant women state involv happen insid bodi extrem person privat hurt endang women wrong forc women remain pregnant will wrong break woman birth tie leg forc hospit wrong convict woman murder neglect refus will birth wrong delay treatment woman pregnant kill fetu thing wrong protect pregnant women choic pregnanc choos carri term birth hospit birth water birth natur birth someday children well term state term protect life health interest friend famili potenti futur daughter feel skew complet misrepres posit entir appreci consider
kazikli_bey,post_4552139,kill aggressor threaten kin tribe embed speci kill food effect male term brain develop fall kill help kin surviv thrive instanc kill surviv kill kill sake total violent genet violenc connect surviv cape buffalo anim work vengeanc attack predat instinct simpli wanton kill surviv illog thing talk talk will chang fact
pasithea,post_1061604076,bring forward movement aid women care children financi imagin drastic declin abort rang winger scream respons action slut gon help pay kid soooo bid hard mitig social reason women choos abort side push birth refus help child born stori woman chose abort regret abort feel choic felt forc hardship sought help crisi pregnanc center help told kill babi yeah peopl help women financi rais children afford pregnanc babi free cost lot money birth hospit cost money feed cloth older thing well school suppli cloth food year comparison cost carri term rais babi year estim span time versu abort babi someday financi stabl abort drop bucket compar child rais
churchmouse,post_1061428408,junkieturtl toler view toler opinion left scream toler toler peopl scream toler respect unborn spirit reflect hard evil posit respect satan face face toler real nice guy real life respect posit abort sens moral real actual person admit abort edg lol factual time good shot matter circl daili thing wo chang wo throw insult logic moral logic moral christian faith color life color well debat abort mention god brought footnot jesu statement want address prove best thing pot shot believ turn jesu statement bring religion atheist will happen novemb major think obama day number obama troubl
blasphemer,post_1060871487,fetu produc blood blood move best test determin lose personhood person thing lost replac substitut life support altern adult adult peopl kidney loos personhood kidney essenc person blood filter system peopl artifici heart circul loos personhood heart person simpli pump theoret peopl blood thing function loos personhood peopl bone transplant person blood person simpli distribut system bodi peopl function brain loos personhood braindead peopl empti shell routin dismantl organ thing work function brain brain wave sens brain
cady,post_4766155,right unborn undoubtedli infring woman right pregnanc childbirth perman damag woman bodi threaten health life decid risk matter fault fetu sole woman fault homicid law human be fetu consid human separ fetal homicid law fetal homicid law contradict start concept viabil gestat age illinoi law state legal right confer fetu maryland law state fetal personhood establish law contradict roe wade contradict law inclus censu depend tax deduct fetal homicid law unnecessari protect unborn women
churchmouse,post_1062023419,societi recogn slaveri wrong men woman lost live slaveri lincoln advoc slaveri thoma jefferson want abolish sin fought civil war abolish slaveri thought abort will illeg ask vote funni time sexual societi today countri embrac abort women fact abort common procedur taboo talk open hear woman hair day abort wasnt abort pregnant year kid abort women hide today women share embrac abort privat talk procedur breast implant sort thing abort gee wonder legal skippi immor will immor matter legal scienc clear life start attest fact start mother womb live grew peopl today happen kill womb wrong care major wrong immor devast live will
churchmouse,post_1061503517,giftedon yea exactli point crush liber play dumb gee wonder lmao answer respons claim prove blood brother sister forum friend claim prove provid lengthi list scientist doctor credibl school hospit univers scientif concept life start life human scientist depend educ topic qualif well post hundr hundr factual fli head worth troubl aliv dead evid god aliv exist life womb rock appl sperm egg meet sperm egg aliv human cell incap reproduct fact fertil egg potenti adult potenti human human potenti life womb life human wait birth exhibit human characterist heart start beat day organ futil talk religion abort religion wrong atheist abort immor defin womb month month unborn month singl human cell lmao lmao watch ya funni cell human rock human exact time deal kill lol real care illog follow right right concern person right woman ownership bodi dictat case kill unborn abort woman woman term well guy babi babi woman right cant judg enslav late term abort wrong logic babi human statement stupid bare tear type woman pregnant human sperm lol wo pin second trimest automat human lmao answer question women abortionist gut question kinda pin ya blame want answer favor compar live human womb abortionist answer question ask doubt will answer post obviou reason central question yea late term abort cant wait hear zygot dna deriv parent genet form individu zygot thing human will individu farm anim fish rock ya titl site zygot human anatomi wonder human life wow mention human human life ridicul
modus_ponens,post_3795662,convers formal logic disput disput standard proof case thesi zygot human entitl fundament human right support claim suppli definit count human live entiti genet composit possess integr metabol life process organ zygot meet criteria acknowledg human thesi argument support protocol debat thing cede point reason flaw thesi allud expert agre evid persist kind repli forfeit peopl point time understand zygot human demonstr wrong exist accept burden proof claim zygot human defens thesi burden proof logic demonstr truth posit statement burden proof burden make resolut forward case will persuas critic audienc point side disagr oblig respond argument failur side threaten side loss forfeit defens claim intellectu honest admit third parti decid agre spite inadequ support thesi sit good oblig move argument forward point wrong case build posit sad explicit peopl studi philosophi win argument techniqu actual critic reason engag reason contrast reason standard proof truth argument resist attack scientif circl criterion claim will prevail long displac convinc gift typic philosoph bob weav address argument make post
churchmouse,post_1061187418,cadi evid demonstr exagger number abort prior roe offici govern estim center diseas control cdc plan parenthood special affili alan institut cdc abort roe year estim abort number accur aggress seek abort provid advoc abort figur abort year legal spark sudden declin defi sens fact clear roe huge increas number countri abort illeg matern death rate dramat higher health organ women die year unsaf abort suffer complic includ infertil full year roe feder center diseas control report women die illeg abort death total abort includ legal figur low case number death drop sharpli previou year statist typic era report scientif american articl christoph senior fellow popul council nation center health statist list death abort total mortal illeg abort undoubtedli larger figur likelihood abort thing long roe sex research estim percent illeg abort perform physician physician good stand fact prior legal abort safe easi afford studi time risk born disproportion minor abort case abort legal lead woman coat hanger babi emot issu harden heart emot logic firmli stand truth issu sad lack conscienc emot side
okgrannie,post_4479561,life chang event woman choos abort deni life affirm life choos life life time zygot form will month entiti long attach woman depend attach exist woman decid choos continu support attach detriment bodi uniqu dna confer special bug plant uniqu dna describ social depend social depend degre zef physic depend life
churchmouse,post_1061573246,cadi abortionist job hire kill life life left child womb bigger bigger decid born punish women risk sex pregnant punish life womb punish scenario make woman carri babi entir pregnanc late term abort wrong late term abort base statement cadi crimin abort protect unborn punish women deni abort segment pregnant popul late term abort lol hypocrit posit
subdermal,post_1060871281,answer implant properli repres view topic nuanc view subject difficulti thread determin life posit close align heart beat accept posit choos point earlier blood move entir blood move form understand point day concept heart beat week live blood blood play key cultur role societi term posit subject posit allow oppos posit concern posit life concept peopl critic posit bring case rape will find choos point blood move read fetu produc blood separ mother erad concern termin pregnanc rape whoop moment excus vast major engag unprotect protect sex respons oral contracept rape likewis posit logic clear issu abort divid
pasithea,post_3935546,dislik movement oppress women right equal indoctrin women earli purpos life famili countri seriou problem women will realiz detriment societi year men women countri live women gener abort girl boy problem unfortun countri treat women second class citizen movement women fertil abil reproduc go spread fast children time countri wo women
skeptical_heretic,post_1061884767,respond abort explain person ultrasound forc peopl ultrasound peopl forc women abort happen woman choic earli avoid late term abort leav complic peopl agre point pregnanc conscious develop peopl exact second egg fertil develop zygot conscious month develop conscious definit point undeni peopl expert field time link articl small excerpt recommend read articl make thing bring peopl wrong respond wrong agre disagre simpl depend talk good sex public school state abstin educ sex educ extrem vital poor area told thing expect poorer area will wors educ area sex explain
prometeus,post_4477175,life potenti life absolut execut crimin life good reason score peopl die war combat includ innoc children find justif potenti life stalin pol pot better prevent potenti actual weigh signific potenti freedom weigh freedom speech potenti harm freedom peopl funer shout obscen allow prohibit speech thing mandat speech forc woman bear child forc peopl thing will stack balanc
giftedone,post_4817672,claim crime woman abort crime woman abort earli stage pregnanc technic correct leav possibl open abort stage crime dead wrong homicid legal element legal term peopl charg homicid regular basi cours ration person ar ration argument claim stage pregnanc human exist unfortun claim zygot human valid argument back claim read post read mine numer occas law state irrelev debat law ration law debat
junkieturtle,post_1061083991,prostitut legal nevada state legal vote honestli care oldest profess go happen happen religion thousand thousand year well outlaw breath legal drug euthanasia complet utterli ridicul stem cell save million live born scienc wrong base moral scienc scienc moral studi fact opinion choos base scienc posit rape medic traumat rape victim bodi posit rape state time rape wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong wrong take choic victim listen agre fals impress bodi abort happi bodi choic mine mouth comment time support type public assist program privat assist program meet half countri respons care citizen choos donat money respons american funni hear care born life choos fetu walk talk person meant place thought spend money poor peopl forc power influenc govern pay extra buck year tax peopl worldli possess live poverti
whaler17,post_4408560,absolut love repeatedli fool human clone lab ident twin creat natur natur ident twin relat modern clone technolog natur twin occur fertil egg cell sperm cell rare case fertil egg call zygot divid embryo cell separ cell continu divid ultim develop separ individu mother cell zygot individu genet ident embarrass confid claim subject realiti
junkieturtle,post_1061390223,newborn surviv assist fetu surviv mother mother grandmoth understand basic differ born unborn start squar scienc thread pregnanc refresh cours brown grow concept birth insid womb surviv live complet independ mother sort keep room long concept doctor wait implant womb hang idea spell spell check dish month month brown surviv implant womb argument bring brown sort game ask dodg fetu complet independ mother fetus perform abort peopl lot happier woman question longer pregnant
the_dark_lord,post_1061482565,collect deni person life time govern deni person life execut crimin declar war nation individu women deni zef bodi deni women live live choos women oblig gestat egg bodi produc fact incap women oblig gestat egg meet sperm vacuou concept broad gener absolut freedom question freedom confin extent freedom function societi allow live surviv awar life simpli opinion support aliv life god natur case place life illustr penalti impos take life enforc abort illeg societi subscrib societi idea life valuabl thing equal circumst involv societi subscrib notion thing valuabl life woman wish bodi societi doom crumbl
rpa1,post_4851267,motto money motto law respect establish religion btw harm person send rotten money phrase lol pyramid symbol host egyptian god remov well prayer law respect establish religion prayer meet centuri state church religi imag stone countri kid public build gon wreck crew smash congress yep rev patrick latest prayer congression hous etern god day rest congress room yep describ place individu repres senat withdraw seek divin strength guidanc garbag shovel agenda kind
sadanie,post_4825847,birth control save live allow fertil happen case morn pill allow egg attach wall uteru prevent abort wors case late term abort save live limit number women die child birth limit number unwant children abus die extrem abus effect birth control reduc death starvat war countri africa sever popul popul killer children adult
giftedone,post_3773759,view subject matter expert great perspect biologist univers titl fertil egg human life outlin dialogu leader pro life group articl humor rest vast major development biologist agre claim human life concept claim live human human exist larger stretch bottom major subject matter expert disagre claim note phrase bleedin obviou appear claim subject matter expert
modus_ponens,post_1061537854,sex biolog purpos precaut precaut effect life peopl parent activ teenag engag sex kid high school wise coupl reason pregnanc obviou sex biolog purpos consequ fair assum engag prepar moral financi assum respons parenthood agre father principl equal respons mother common sens sad commentari contemporari liber liber run pretti basic moral reason put respons thing consid liber point western cultur constraint person liberti view consequ parent women male equal moral respons children father reflect law law technolog make harder harder skirt natur hold account sex advers consequ woman individu neg liberti woman prerog abrog moral oblig bring term human life respons gener choic consequ press cancel button consequ choic engag moral reason refer law current allow law wrong moral reason determin liter forc woman children forc woman sex forc woman sex contracept fail life peopl face consequ behavior event pregnanc fail contracept rare count argument favor avail abort demand obviou mention woman adam rear child run counter life goal child adopt benefit pregnanc result rape special case abort moral permiss woman bear pregnant bear consequ sooner convers yeah male influenc view male leav person invest point femal help bring object issu hope avoid kind pointless ad hominem will support seriou restrict avail abort condit state provid comprehens support mother state go uphold life oblig serious provid requisit medic care mother pregnanc year life longer life great deal unborn human be brought term
churchmouse,post_1061586547,abort violenc talk woman pressur wo abort determin certainti widespread problem law enforc commun shame stigma experienc sexual assault victim small percentag crime report kind instanc discuss problem compound stigma associ abort situat victim report crime commit behavior will reveal circumst easi understand rare go realiti consid light number instanc report appar number women sexual assault insid american abort clinic despit year legal stigma remain strong prevent vast major women want abort abort forc clearli go reduc number case studi violenc factor case difficult uncov decept manner media report sampl actual case report real women name chang adam abort motiv confirm adam pregnant child nation footbal leagu player shot death van michael kennedi trial reveal paid kill adam refus demand abort kennedi eventu plead guilti murder convict conspiraci commit murder sentenc year prison salt lake associ press susan ny abort motiv confirm steven father unborn child demand abort refus kill shoot head admit crime allow plead guilti manslaught face murder charg york daili news lee abort motiv confirm pregnant actor robert shot death sit car court wit testifi plan hire doctor abort babi work intend whack admit offer abort refus juri evid convict crimin charg subsequ civil trial juri respons murder order pay damag court tv sun
think_for_myself,post_3635287,south dakota decis difficult inflict emot pain women men women forc visit center dedic stop abort abort disgust sexist law heard farther govern regul prescrib amend medic decis medic procedur bit privaci expect doctor patient sign front abort center advertis free pregnanc test abort test sexual transmit diseas year plan parenthood occupi build fall alpha center grow number organ dedic encourag women bring babi term choic locat vagu word sign center confus draw women seek abort chang mind visit will south dakota law sign gov denni tuesday state requir women seek abort attend consult center learn assist help mother care child legisl pass easili state legislatur republican outnumb democrat establish nation longest wait period three day initi visit abort provid procedur except case rape incest state requir counsel doctor clinic staff member abort cover topic health risk south dakota law mandat counsel will peopl central qualif oppos abort agre goal reduc abort encourag consider altern republican statement tuesday law provok vehement opposit support abort right local nation describ requir unconstitut obstacl women seek abort plan parenthood challeng law court schedul juli democrat state repres vote measur law amount govern intrus peopl medic decis south dakota women submit lectur unqualifi volunt crisi pregnanc center countri republican success elect novemb push bill aim reduc abort half state introduc legisl includ restrict health insur coverag abort requir women receiv ultrasound abort ban abort week elizabeth track abort legisl institut organ south dakota legisl bill law despit abort rate lowest nation state issu year legislatur pass number law aim curb abort overturn court voter ballot referendum law remain restrict nation standard state exampl requir wait period well counsel clinic staff mandat women told abort will termin life separ uniqu live human requir visit pregnanc help center tactic shift oppon abort center secular religi affili elig provid counsel servic law long main mission educ counsel assist women help maintain relationship unborn children greater assur woman consid abort go fulli inform risk option roger hunt republican legisl wrote bill current time law appear escal tension abort provid pregnanc help center oper close proxim list alongsid abort side regularli accus manipul coerc women founder alpha center leader effort counsel session clinic ensur women pressur decis boyfriend husband parent center counsel session women regret decis abort dismiss opposit law women remain free abort chose afraid ask women chang mind nearbi plan parenthood clinic sole provid abort state local doctor perform doctor flown week minnesota patient drive hour state seek abort law trip find place stay wait period sarah presid local plan parenthood chapter clinic care ensur patient make decis turn woman appear make decis pressur contrast employe pregnanc help center record provid misinform physic psycholog risk associ procedur tactic display graphic photo quot scriptur order influenc woman decis licens regul accredit openli ideolog idea legal mandat coerc peopl medic profession coerc pale
bucknaked,post_4809800,simpli naiv chang decad gener program will solv tell peopl suppos think dad marri time mom marri mindset brother thing peopl program differ environ direct live situat complet direct sister marri numer time grew household taught valu gather experi peopl today thousand choic year ago place mold expect posit logic simpl
dixnickson,post_1061240440,ask impregn will true man live soul live bodi unsur meant man applic life keen discern mind evidenc argument question faith question withdrawn faith sincer envis jesu christ son god abort mill counsel pregnant women question answer sincer god caus promot abort christ rais dead heal sick cast spirit fed hungri bodi spirit repent sinner god abort promot
otter,post_4363580,aspect abort increas risk breast cancer biolog reason abort prematur deliveri breast cancer climb trimest breast grow stimul multipli conclus trimest develop increas number month pregnanc process differenti protect advers effect influenc hormon matur type type sooooo woman deliv prematur week undergo abort undergo differenti process leav greatli increas number type abort greatli increas risk prematur labor pregnanc risk multipli attempt block releas inform choic
skeptical_heretic,post_1061844818,sourc mislead hormon inject contracept stop hiv surpris second sourc fine analysi good legit fourth sourc reason cancer increas true reason unknown sourc activist group sourc tend third parti provid origin sourc better suit best put statist origin sourc fact websit sourc accur rebutt statist usa compar form sex educ
indigo,post_4627215,abort wrong entir special circumst simpli opinion merit abort entir hypocrit fetu deserv choic million anim suffer pain day cheaper meat notic larg amount fertilis egg woman period worth fact debat life million peopl die cancer smoke substanc add proport children die prevent ill develop develop nation children mother die childbirth insuffici medic attent add number peopl worldwid commit suicid suffer mental physic disabl live current giant abort debat stupid compar problem care peopl feel person die fertilis egg
frisco,post_1061113271,hello shot opinion year second year studi polit scienc intern busi plan studi crimin justic futur kinda young matur respect opinion wrong opinion well read post conclus abort choic woman pregnant bodi hand babi third trimest concept zygot live cell kill cut skin live cell claim murder wrong wo accept skin comparison add heard peopl live cell kill zygot potenti human life absurd condom condom will kill potenti evolv human condom murder conclus live cell aliv third trimest concept time futur mother decid bodi practic life babi tremend respons bring life properli prepar imagin year forc babi futur understand doom life babi life
locke9-05,post_1060927245,definit short ignor claim posit definit subject term definit babi right adult unborn womb right adult mother grant right live exist funni post opinion declar view equal person object definit subject scrutini cours opinion debat opinion opinion human care opinion side unborn life sad women second class citizen unborn grow insid right exist women second class citizen load crap debat polit forum kind debat polit forum attempt forc coerc peopl make strong argument forc opinion peopl method denial thing advoc common deni lot thing deni unborn exist deni causal sexual interact unprotect sexual interact deni forc opinion peopl attempt post respond told definit personhood correct essenti tell opinion consid embryo person wrong yeah forc belief subject definit free abort drunk lot sex chose drunk choos drunk cognit abil skew result chose wild sex unprotect undo mistak pure result irrespons choic pretti prove point movement hold account essenti free play god innoc life person meet standard human normal disgust fine posit justifi societi longer agre posit year societi increasingli roe wade overturn anytim prepar disappoint
rae-14-l,post_3521803,abort polit will engag subject find interest subject talk abort wrong reason woman rape babi go hate abus bad person kill babi born born hate abus death second teenag mistak face fact lot go resolv problem abort continu normal life struggl day day educ help babi die suffer neglect earli stage infant third popul destroy planet add troubl abort spare suffer child will help better place wrong abort
diamond_lil,post_4971735,libertarian round problem equal right woman embryo insid bodi human entiti occupi bodi equal right right prefer woman right trump right embryo foetu time insid bodi fact luckili law agre britain prefer restrict abort remov protect women unborn intend pro life lobbi quiet pointless restrict argument crackpot belief attempt widen total
spt5,post_4746364,dare sex woman condom understand women trust pill condom life bed guy care technolog crimin intent bed women feminist legisl potenti confisc driver licens abil hous declar guilti prove receiv basic human right minor special interest group achiev goal feminist sold scheme legisl power extort fashion will time futur man form close relationship woman halt relationship well found suspicion movi
danielpalos,post_4828094,conveni work simpli conveni altern better human sexual better relat relationship argu abstin swim flow human sexual loyal subject anim kingdom reason preach abstin work age engend moral opinion employ coerciv forc state deni disparag individu liberti impli opposit claim perspect teach abstin safer sex practic form limit potenti choic deni disparag sex form limit consid hypothet altern nice guy holi moral pray true love perform true love ritual templ dedic goddess love abstin prefer form holi moral
anders_hoveland,post_1061365577,progress free healthcar abort pose hypothet situat liber suppos govern cover cost healthcar refus pay abort suppos govern current allow abort conserv religi govern absolut refus allow taxpay money fund abort suppos legisl propos allow abort pregnanc provid free abort fail three vote absolut free abort will provid suddenli coupl racist politician oppos legisl idea abort allow week pregnanc govern pay abort politician absolut three vote difficult expand abort access women abort progress politician compromis racist sure better expand abort women women progress foetu human born compromis racism white women absolut wrong abort foetu propos idea motiv racist reason sure progress argument move wrong direct choic abort abort women better hypothet scenario complet unrealist america state opinion abort split abort restrict vote sway state legislatur favor peopl switch abort allow women crowd go wait year hope public will eventu chang mind crowd prefer women access abort allow racial discriminatori compromis moral argument major white america major america fair white peopl mother abort form racial oppress higher fertil rate perspect women abort white women tend seek abort selfish reason help white women minor women children hinder mother abil career abort difficult ethic issu good reason abort race minor factor peopl minor factor scale direct
anders_hoveland,post_1061293431,jew die nazi occup subsequ war unit state unborn babi termin choic liber foetu claim worthi respect form human life nazi claim jew abort innoc human life easiest justifi murder establish intend victim abort industri precis desper women told health clinic personnel abort procedur simpli involv remov bodi tissu women told potenti life womb human complet dna code facial characterist tragic abort doctor mislead deceiv public peopl unborn babi parasit feel thought experi fetu simpli thing requir feel pain nerv place week concept chemic send messag nerv brain week stuck grab cut crush react squirm escap fight blood pressur puls speed babi respond cut piec suck apart chemic kill abus death human struggl seek escap destruct
thehat,post_1061442209,nice long wind shiva fail normal guy term zygot embryo fetu member call zef context term meant assault measur guy simpli term meant describ stage babi human peopl batter ram convey babi babi fetu stage shiva infant infant toddler toddler adolesc adolesc adult term defin time period life human differ fetu month womb babi incub born month prematur dare person answer honestli dare ya hide law answer answer honestli dare ya
churchmouse,post_1061169477,junkieturtl report statist accur forum hard decis hard kill work field purpos talk testimoni women abort person friend hidden year knew women heart wrong feel trap feel option immor will rid problem talk hope women will admit share feel hard secret tear apart keep abort secret lol christian nation poll surpris nationwid poll poll abort polit lend credibl poll articl post start reason women forward sad regret find women regret abort countri abort legal countri life celebr deviant materialist major women abort claim christian biblic standard display godli behavior kill christian harder live matter christian walk righteous abort sex marriag
